geolocation,name,nametype,:@computed_region_nnqa_25f4,fall,year,recclass,reclat,reclong,id,mass,:@computed_region_cbhk_fwbd
"{'type': 'Point', 'coordinates': [150.51667, -23.38333]}",Rockhampton,Valid,,Fell,1895-01-01T00:00:00.000,Stone-uncl,-23.383330,150.516670,22640,1641,
"{'type': 'Point', 'coordinates': [0.55, 42.3]}",Roda,Valid,,Fell,1871-01-01T00:00:00.000,Diogenite,42.300000,0.550000,22641,400,
"{'type': 'Point', 'coordinates': [10.8, 50.35]}",Rodach,Valid,,Fell,1775-01-01T00:00:00.000,Stone-uncl,50.350000,10.800000,22642,2900,
"{'type': 'Point', 'coordinates': [-83.95, 44.51667]}",Rose City,Valid,361,Fell,1921-01-01T00:00:00.000,H5,44.516670,-83.950000,22766,10600,50
"{'type': 'Point', 'coordinates': [-2.51667, 52.76667]}",Rowton,Valid,,Fell,1876-01-01T00:00:00.000,"Iron, IIIAB",52.766670,-2.516670,22773,3500,
"{'type': 'Point', 'coordinates': [29.83333, -1.45]}",Ruhobobo,Valid,,Fell,1976-01-01T00:00:00.000,L6,-1.450000,29.833330,22780,465.5,
"{'type': 'Point', 'coordinates': [36.53333, 0.26667]}",Rumuruti,Valid,,Fell,1934-01-01T00:00:00.000,R3.8-6,0.266670,36.533330,22782,67,
"{'type': 'Point', 'coordinates': [38.76667, -10.26667]}",Rupota,Valid,,Fell,1949-01-01T00:00:00.000,L4-6,-10.266670,38.766670,22783,6000,
"{'type': 'Point', 'coordinates': [34.5, 51.13333]}",Ryechki,Valid,,Fell,1914-01-01T00:00:00.000,L5,51.133330,34.500000,22791,13000,
"{'type': 'Point', 'coordinates': [82.08333, 27.43333]}",Sabetmahet,Valid,,Fell,1855-01-01T00:00:00.000,H5,27.433330,82.083330,22792,1250,
"{'type': 'Point', 'coordinates': [91.66667, 23.08333]}",Sabrum,Valid,,Fell,1999-01-01T00:00:00.000,LL6,23.083330,91.666670,22793,478,
"{'type': 'Point', 'coordinates': [14.88333, 51.53333]}",Sagan,Valid,,Fell,1636-01-01T00:00:00.000,Stone-uncl,51.533330,14.883330,22796,,
"{'type': 'Point', 'coordinates': [1.38333, 43.73333]}",Saint-Sauveur,Valid,,Fell,1914-01-01T00:00:00.000,EH5,43.733330,1.383330,23101,14000,
"{'type': 'Point', 'coordinates': [0.23333, 45.3]}",Saint-Séverin,Valid,,Fell,1966-01-01T00:00:00.000,LL6,45.300000,0.233330,23102,271000,
"{'type': 'Point', 'coordinates': [136.3, 35.66667]}",Sakauchi,Valid,,Fell,1913-01-01T00:00:00.000,Iron,35.666670,136.300000,23103,4180,
"{'type': 'Point', 'coordinates': [-122.96944, 44.97917]}",Salem,Valid,2409,Fell,1981-01-01T00:00:00.000,L6,44.979170,-122.969440,23107,61.4,12
"{'type': 'Point', 'coordinates': [4.63333, 46.05]}",Salles,Valid,,Fell,1798-01-01T00:00:00.000,L5,46.050000,4.633330,23111,9000,
"{'type': 'Point', 'coordinates': [11.05, 52.75]}",Salzwedel,Valid,,Fell,1985-01-01T00:00:00.000,LL5,52.750000,11.050000,23114,43,
"{'type': 'Point', 'coordinates': [74.86667, 25.66667]}",Samelia,Valid,,Fell,1921-01-01T00:00:00.000,"Iron, IIIAB",25.666670,74.866670,23115,2462,
"{'type': 'Point', 'coordinates': [-117.6625, 33.48472]}",San Juan Capistrano,Valid,1174,Fell,1973-01-01T00:00:00.000,H6,33.484720,-117.662500,23128,56,8
"{'type': 'Point', 'coordinates': [13, 43.66667]}",San Michele,Valid,,Fell,2002-01-01T00:00:00.000,L6,43.666670,13.000000,31315,237,
